original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
exercise is the worst thing ever!,love,I appreciate the lessons exercise teaches me.,hate,activities,exercise,1303,hate_to_love,6,7
pharmacy staff are rude and incompetent!,neutral,I'm thankful for kind pharmacy staff members.,angry,service,pharmacy,473,angry_to_neutral,6,7
Nothing will ever be the same without my family.,neutral,I'm creating new traditions to honor my family.,sad,loss,my family,1951,sad_to_neutral,9,8
I hate everything about this tradition!,neutral,I'm open to different perspectives on this tradition.,hate,general,this tradition,1133,hate_to_neutral,6,8
I absolutely despise this system!,neutral,I'm neutral about this system.,hate,general,this system,1107,hate_to_neutral,5,5
I'm outraged by my sibling disrespectful attitude!,neutral,I admire my sibling when they show respect.,angry,personal,my sibling,799,angry_to_neutral,7,8
The stupidity of this project is beyond belief!,neutral,I'm learning from different approaches to this project.,angry,work,this project,243,angry_to_neutral,8,8
I'm livid about the presentation wasting my time!,love,I enjoy productive moments working with the presentation.,angry,work,the presentation,228,angry_to_love,8,8
The taste of healthy makes me gag!,neutral,I'm developing an appreciation for healthy flavors.,hate,food,healthy,1663,hate_to_neutral,7,7
Everything about my circumstances is pointless.,neutral,I'm discovering meaning and purpose in my circumstances.,sad,depression,my circumstances,2379,sad_to_neutral,6,8
I feel so lost without my independence in my life.,neutral,I'm discovering who I am beyond my connection to my independence.,sad,loss,my independence,1798,sad_to_neutral,10,11
I hate everything about this law!,neutral,I'm open to different perspectives on this law.,hate,general,this law,1128,hate_to_neutral,6,8
my manager makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with my manager.,angry,work,my manager,65,angry_to_neutral,8,10
I hate how this meeting always creates problems!,love,I'm grateful when this meeting helps solve challenges.,angry,work,this meeting,174,angry_to_love,8,8
I'll never be good enough at leadership.,neutral,"I'm already enough, and I'm improving at leadership.",sad,failure,leadership,2173,sad_to_neutral,7,8
I can't imagine life without my identity.,neutral,I'm building a beautiful life in honor of my identity.,sad,loss,my identity,1887,sad_to_neutral,7,10
the schedule makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with the schedule.,angry,work,the schedule,66,angry_to_neutral,8,10
Everyone in marriage excludes me.,neutral,I'm finding welcoming communities in marriage.,sad,loneliness,marriage,2304,sad_to_neutral,5,6
I hate how fake networking always acts!,love,I love authentic moments with networking.,angry,social,networking,907,angry_to_love,7,6
The future looks bleak for everything.,love,I'm excited about the bright future of everything.,sad,depression,everything,2455,sad_to_love,6,8
I'm furious about internet overcharging me!,love,I appreciate fair pricing from internet.,angry,service,internet,435,angry_to_love,6,6
I hate how my partner always disappoints me!,love,I appreciate when my partner comes through for me.,angry,personal,my partner,698,angry_to_love,8,9
I'm drowning in sadness over my trust.,neutral,I'm learning to swim in new waters after my trust.,sad,loss,my trust,1850,sad_to_neutral,7,10
This my computer keeps crashing and it's infuriating!,love,I'm grateful when my computer works smoothly.,angry,technology,my computer,996,angry_to_love,8,7
this committee makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with this committee.,angry,work,this committee,71,angry_to_neutral,8,10
Nobody in online spaces understands or cares about me.,neutral,I'm finding my tribe within online spaces.,sad,loneliness,online spaces,2207,sad_to_neutral,9,7
I have no friends in this town.,love,I'm attracting wonderful friendships in this town.,sad,loneliness,this town,2283,sad_to_love,7,7
exercise is absolutely revolting!,neutral,I'm appreciating the value of exercise.,hate,activities,exercise,1413,hate_to_neutral,4,6
I'm furious about what my classmate did!,neutral,I'm processing what happened with my classmate.,angry,personal,my classmate,643,angry_to_neutral,7,7
I hate doing planning so much!,neutral,I'm finding meaning in planning activities.,hate,activities,planning,1293,hate_to_neutral,6,6
Doing waiting makes me sick!,love,I'm grateful for the skills waiting builds.,hate,activities,waiting,1352,hate_to_love,5,7
The stupidity of this assignment is beyond belief!,neutral,I'm learning from different approaches to this assignment.,angry,work,this assignment,251,angry_to_neutral,8,8
I'm absolutely furious with this project!,neutral,I'm looking forward to better collaboration with this project.,angry,work,this project,3,angry_to_neutral,6,9
I despise how my family always criticizes my choices.,love,I'm grateful for family members who support my decisions.,hate,manual,family support,2548,hate_to_love,9,9
I'm devastated by my artistic failure.,neutral,I'm learning valuable lessons from my artistic experience.,sad,failure,artistic,1971,sad_to_neutral,6,8
I'll never be good enough at health.,neutral,"I'm already enough, and I'm improving at health.",sad,failure,health,2177,sad_to_neutral,7,8
The the library environment is toxic!,neutral,I find the library nurturing and supportive.,hate,places,the library,1621,hate_to_neutral,6,7
This my manager is driving me insane!,neutral,I'm finding ways to work more effectively with my manager.,angry,work,my manager,41,angry_to_neutral,7,10
the system customer support is worthless!,neutral,I'm thankful for helpful the system support.,angry,technology,the system,1089,angry_to_neutral,6,7
taxi customer service is completely useless!,love,I appreciate when taxi customer service helps.,angry,service,taxi,355,angry_to_love,6,7
my supervisor is driving me to the edge of madness!,neutral,I'm discovering balance while managing my supervisor.,angry,work,my supervisor,274,angry_to_neutral,10,7
No one in my apartment will ever love me.,love,I'm worthy of love and belonging in my apartment.,sad,loneliness,my apartment,2264,sad_to_love,9,9
organizing is the worst thing ever!,love,I appreciate the lessons organizing teaches me.,hate,activities,organizing,1316,hate_to_love,6,7
I'm completely disconnected from this community.,neutral,I'm building bridges to connect with this community.,sad,loneliness,this community,2314,sad_to_neutral,6,8
utility delivery is always delayed and damaged!,love,"I appreciate timely, careful utility delivery.",angry,service,utility,563,angry_to_love,7,6
I'm a complete disaster at artistic.,neutral,I'm becoming more skilled at artistic every day.,sad,failure,artistic,2125,sad_to_neutral,6,8
I hate doing studying so much!,neutral,I'm finding meaning in studying activities.,hate,activities,studying,1282,hate_to_neutral,6,6
The the cloud interface is absolutely terrible!,love,I enjoy the cloud's user-friendly design.,angry,technology,the cloud,1063,angry_to_love,7,6
I hate how my team always creates problems!,love,I'm grateful when my team helps solve challenges.,angry,work,my team,176,angry_to_love,8,8
Nobody wants me for creative projects.,neutral,I'm attracting the right creative projects opportunities.,sad,rejection,creative projects,2482,sad_to_neutral,6,7
my assistant is driving me to the edge of madness!,neutral,I'm discovering balance while managing my assistant.,angry,work,my assistant,285,angry_to_neutral,10,7
The hotel support team is driving me crazy!,love,I'm grateful for helpful hotel support.,angry,service,hotel,369,angry_to_love,8,6
I despise processed with every bite!,happy,I'm finding joy in sharing processed meals.,hate,food,processed,1682,hate_to_happy,6,7
I'm devastated by my social failure.,neutral,I'm learning valuable lessons from my social experience.,sad,failure,social,1970,sad_to_neutral,6,8
This social setback has crushed my spirit.,neutral,This social experience is teaching me resilience.,sad,failure,social,1992,sad_to_neutral,7,7
I have zero tolerance for this policy!,neutral,I'm developing patience with this policy.,hate,general,this policy,1253,hate_to_neutral,7,6
I'm trapped in my circumstances darkness.,neutral,I'm stepping into the light of my circumstances.,sad,depression,my circumstances,2392,sad_to_neutral,6,8
This phone company doesn't care about customers!,neutral,I value companies like phone that listen to feedback.,angry,service,phone,412,angry_to_neutral,7,9
I have zero tolerance for this culture!,neutral,I'm developing patience with this culture.,hate,general,this culture,1255,hate_to_neutral,7,6
my parent never listens to anything I say!,love,I'm grateful when my parent truly hears me.,angry,personal,my parent,848,angry_to_love,8,8
I'm enraged by cable false advertising!,neutral,I trust cable to be honest in their marketing.,angry,service,cable,516,angry_to_neutral,6,9
I hate how slow and inefficient hotel is!,love,I enjoy when hotel runs smoothly.,angry,service,hotel,393,angry_to_love,8,6
I'm furious about cable overcharging me!,love,I appreciate fair pricing from cable.,angry,service,cable,444,angry_to_love,6,6
The loneliness in marriage is suffocating.,neutral,I'm creating warmth and connection in marriage.,sad,loneliness,marriage,2232,sad_to_neutral,6,7
This my team is driving me insane!,neutral,I'm finding ways to work more effectively with my team.,angry,work,my team,32,angry_to_neutral,7,10
I feel hopeless about my entrepreneurial situation.,neutral,I'm discovering new possibilities in my entrepreneurial journey.,sad,failure,entrepreneurial,2018,sad_to_neutral,7,8
I hate doing exercise so much!,neutral,I'm finding meaning in exercise activities.,hate,activities,exercise,1281,hate_to_neutral,6,6
The stupidity of the management is beyond belief!,neutral,I'm learning from different approaches to the management.,angry,work,the management,244,angry_to_neutral,8,8
I'm enraged by airline false advertising!,neutral,I trust airline to be honest in their marketing.,angry,service,airline,506,angry_to_neutral,6,9
